,trans_hour,trans_day,trans_month,trans_year,category,card_number,age,trans_amount,state,zip,fraud_risk
0,0,1,1,2019,12,630000000000.0,54,66.21,22,49879,0
1,1,1,1,2019,3,3540000000000000.0,15,55.81,14,62668,0
2,3,1,1,2019,8,502000000000.0,60,8.68,4,96037,0
3,6,1,1,2019,4,3530000000000000.0,44,89.52,40,29911,0
4,6,1,1,2019,0,2350000000000000.0,72,1.9,38,16421,0
5,8,1,1,2019,3,3570000000000000.0,24,61.74,15,46765,0
6,13,1,1,2019,11,2710000000000000.0,41,23.25,18,70808,0
7,19,1,1,2019,10,6010000000000000.0,75,81.94,35,45860,0
8,19,1,1,2019,10,630000000000.0,48,71.86,49,24927,0
9,20,1,1,2019,10,6010000000000000.0,66,69.54,36,73754,0
10,20,1,1,2019,0,4650000000000000.0,19,34.5,17,42171,0
11,21,1,1,2019,6,4070000000000000.0,38,16.58,49,25526,0
12,1,1,2,2019,4,4610000000000.0,30,281.06,27,28611,1
13,1,1,2,2019,2,340000000000000.0,58,11.52,43,78208,1
14,3,1,2,2019,4,340000000000000.0,58,276.31,43,78208,1
15,3,1,2,2019,4,4960000000000000.0,52,137.47,38,17929,0
16,3,1,2,2019,2,4610000000000.0,30,7.03,27,28611,1
17,3,1,2,2019,4,375000000000000.0,47,42.41,22,48174,0
18,3,1,2,2019,4,340000000000000.0,58,275.73,43,78208,1
19,4,1,2,2019,2,502000000000.0,56,52.37,38,16878,0
20,4,1,2,2019,8,4330000000000000.0,37,170.98,48,53129,0
21,5,1,2,2019,9,4250000000000.0,79,1.48,35,43160,0
22,13,1,2,2019,11,4610000000000.0,30,844.8,27,28611,1
23,14,1,2,2019,6,4600000000000000.0,21,3.77,16,67020,0
24,15,1,2,2019,10,6530000000000000.0,20,7.27,46,5461,0
25,15,1,2,2019,1,38300000000000.0,35,3.16,43,79539,0
26,23,1,2,2019,8,4610000000000.0,30,843.91,27,28611,1
27,1,1,3,2019,1,6540000000000000.0,51,41.39,22,48221,0
28,1,1,3,2019,2,340000000000000.0,58,10.76,43,78208,1
29,1,1,3,2019,4,340000000000000.0,58,332.35,43,78208,1
30,3,1,3,2019,4,340000000000000.0,58,315.34,43,78208,1
31,8,1,3,2019,2,4610000000000000.0,33,71.17,36,73027,0
32,9,1,3,2019,8,3600000000000000.0,61,5.68,2,71832,0
33,15,1,3,2019,1,3510000000000000.0,59,9.06,49,25049,0
34,16,1,3,2019,4,4920000000000000.0,77,337.05,38,15665,1
35,18,1,3,2019,12,4920000000000000.0,77,711.66,38,15665,1
36,18,1,3,2019,5,4900000000000000.0,28,20.29,34,12419,0
37,19,1,3,2019,12,676000000000.0,24,726.22,31,7439,0
38,21,1,3,2019,9,3600000000000000.0,25,7.92,27,28314,0
39,21,1,3,2019,11,4680000000000.0,40,400.0,42,37132,0
40,21,1,3,2019,6,3560000000000000.0,59,33.39,4,94569,0
41,22,1,3,2019,5,377000000000000.0,53,89.33,49,25442,0
42,22,1,3,2019,8,4920000000000000.0,77,707.5,38,15665,1
43,22,1,3,2019,11,4610000000000.0,30,942.62,27,28611,1
44,22,1,3,2019,13,4920000000000000.0,77,4.5,38,15665,1
45,23,1,3,2019,5,30200000000000.0,52,200.86,23,56592,0
46,23,1,3,2019,12,4610000000000.0,30,821.96,27,28611,1
47,23,1,3,2019,11,4610000000000.0,30,1092.68,27,28611,1
48,23,1,3,2019,11,4610000000000.0,30,1254.27,27,28611,1
49,23,1,3,2019,4,340000000000000.0,58,274.09,43,78208,1
50,0,1,4,2019,3,342000000000000.0,79,14.37,0,99783,1
51,2,1,4,2019,4,4920000000000000.0,77,316.93,38,15665,1
52,2,1,4,2019,4,4920000000000000.0,77,327.68,38,15665,1
53,6,1,4,2019,8,6550000000000000.0,34,5.9,9,33981,0
54,7,1,4,2019,11,4170000000000.0,56,17.68,34,14537,0
55,9,1,4,2019,4,504000000000.0,43,43.75,43,78248,0
56,9,1,4,2019,9,213000000000000.0,48,250.02,21,4226,0
57,13,1,4,2019,6,4.5e+18,40,76.87,9,33811,0
58,14,1,4,2019,5,340000000000000.0,84,16.27,27,27249,0
59,15,1,4,2019,11,342000000000000.0,79,966.11,0,99783,1
60,15,1,4,2019,8,4920000000000000.0,77,795.22,38,15665,1
61,15,1,4,2019,11,3580000000000000.0,40,9.05,32,87117,0
62,15,1,4,2019,12,4920000000000000.0,77,1015.8,38,15665,1
63,20,1,4,2019,7,4.32e+18,59,92.78,17,41810,0
64,20,1,4,2019,10,4720000000000000.0,46,31.55,26,59448,0
65,21,1,4,2019,6,213000000000000.0,24,75.56,22,49775,0
66,22,1,4,2019,8,4920000000000000.0,77,722.18,38,15665,1
67,22,1,4,2019,11,4920000000000000.0,77,898.81,38,15665,1
68,22,1,4,2019,11,4920000000000000.0,77,1001.63,38,15665,1
69,22,1,4,2019,1,4460000000000.0,29,24.51,9,32323,0
70,22,1,4,2019,9,342000000000000.0,79,49.61,0,99783,1
71,22,1,4,2019,7,36900000000000.0,47,151.5,13,83646,0
72,23,1,4,2019,4,342000000000000.0,79,295.26,0,99783,1
73,23,1,4,2019,11,4920000000000000.0,77,1099.99,38,15665,1
74,23,1,4,2019,5,342000000000000.0,79,18.17,0,99783,1
75,0,1,5,2019,4,4.38e+18,45,83.83,4,94619,0
76,3,1,5,2019,2,342000000000000.0,79,20.45,0,99783,1
77,3,1,5,2019,2,342000000000000.0,79,18.19,0,99783,1
78,6,1,5,2019,2,6010000000000000.0,34,63.46,45,23937,0
79,8,1,5,2019,3,630000000000.0,40,64.67,47,99160,0
80,11,1,5,2019,2,30400000000000.0,56,34.17,14,61560,0
81,11,1,5,2019,4,30300000000000.0,64,367.29,24,64630,1
82,12,1,5,2019,6,3550000000000000.0,86,248.23,21,4074,0
83,12,1,5,2019,1,3560000000000000.0,28,119.53,34,13367,0
84,15,1,5,2019,7,30200000000000.0,43,26.82,43,76578,0
85,18,1,5,2019,8,342000000000000.0,79,768.15,0,99783,1
86,20,1,5,2019,10,370000000000000.0,68,7.43,18,70466,0
87,22,1,5,2019,8,342000000000000.0,79,849.49,0,99783,1
88,22,1,5,2019,11,30300000000000.0,64,1177.79,24,64630,1
89,22,1,5,2019,4,342000000000000.0,79,307.09,0,99783,1
90,22,1,5,2019,7,342000000000000.0,79,4.58,0,99783,1
91,22,1,5,2019,12,342000000000000.0,79,730.78,0,99783,1
92,22,1,5,2019,11,342000000000000.0,79,1006.4,0,99783,1
93,22,1,5,2019,12,342000000000000.0,79,830.72,0,99783,1
94,22,1,5,2019,12,4900000000000000.0,28,55.08,34,12419,0
95,23,1,5,2019,6,2220000000000000.0,47,49.28,14,62067,0
96,23,1,5,2019,4,342000000000000.0,79,311.92,0,99783,1
97,23,1,5,2019,12,30300000000000.0,64,762.93,24,64630,1
98,0,1,6,2019,1,60495593109.0,76,70.24,43,75210,0
99,4,1,6,2019,4,4.77e+18,64,151.76,38,17058,0
100,6,1,6,2019,3,4.59e+18,14,23.74,14,60958,0
101,16,1,6,2019,12,6010000000000000.0,24,9.86,23,55080,0
102,16,1,6,2019,10,370000000000000.0,68,59.17,18,70466,0
103,17,1,6,2019,1,2280000000000000.0,21,25.95,10,30009,0
104,18,1,6,2019,11,30300000000000.0,64,855.88,24,64630,1
105,20,1,6,2019,1,30200000000000.0,57,130.81,43,76834,0
106,20,1,6,2019,0,6010000000000000.0,25,5.49,2,72042,0
107,21,1,6,2019,7,581000000000.0,29,54.02,36,73754,0
108,21,1,6,2019,1,4.96e+18,38,115.61,31,7208,0
109,21,1,6,2019,7,4450000000000000.0,47,17.07,36,74536,0
110,23,1,6,2019,11,30300000000000.0,64,909.29,24,64630,1
111,4,1,7,2019,4,6570000000000000.0,51,67.07,36,74130,0
112,4,1,7,2019,4,3600000000000000.0,62,300.14,2,71832,1
113,7,1,7,2019,2,345000000000000.0,33,47.17,9,33872,0
114,8,1,7,2019,8,213000000000000.0,68,304.57,4,95528,0
115,8,1,7,2019,8,180000000000000.0,43,38.47,22,48850,0
